luminex_name,gene_symbol,log2FC_lx,p_value_lx,p_adj_lx,logFC_soma,P.Value_soma,AptName_soma,in_soma,dir_lx,dir_soma,concordant,sig_lx,sig_soma
IL-16,IL16,0.21688029928651237,0.9063293908364868,0.9984984814300277,-0.28619696182227183,0.021744616382301598,seq.2774.10,TRUE,Art > Ven,Ven > Art,FALSE,FALSE,TRUE
IL-21,IL21,-0.10270043823692926,0.4101169916790807,0.7015159068194802,0.0648350977138347,0.3291500397256413,seq.7124.18,TRUE,Ven > Art,Art > Ven,FALSE,FALSE,FALSE
IL-3,IL3,-0.038934340408972305,0.7240816609153895,0.9605164889693942,NA,NA,NA,FALSE,Ven > Art,NA,FALSE,FALSE,NA
CD40L,CD40LG,-0.11039323092979103,0.16981050508552142,0.5256039443123283,-0.027879003953065553,0.8014843870270443,seq.3534.14,TRUE,Ven > Art,Ven > Art,TRUE,FALSE,FALSE
FGF-2,FGF2,-0.0890232346790649,0.6661372044883171,0.9212535806753323,-0.12468806751631781,0.26102297756452914,seq.3025.50,TRUE,Ven > Art,Ven > Art,TRUE,FALSE,FALSE
IL-22,IL22,-0.03234955768408195,0.7554236504413918,0.9795653894180106,-0.09281113456410729,0.20101650127207202,seq.2778.10,TRUE,Ven > Art,Ven > Art,TRUE,FALSE,FALSE
VEGF-A,VEGFA,0.248394596638603,0.09168053014599112,0.45840265072995556,-0.19330366361763995,0.05789844306520117,seq.14032.2,TRUE,Art > Ven,Ven > Art,FALSE,FALSE,FALSE
TSLP,TSLP,-0.19032877783612778,0.03098405009845664,0.45840265072995556,0.02642956183315896,0.8168322425642114,seq.3010.53,TRUE,Ven > Art,Art > Ven,FALSE,TRUE,FALSE
IL-20,IL20,-0.13118518371387916,0.09168053014599112,0.45840265072995556,0.055920888172559184,0.7386186610728749,seq.4138.25,TRUE,Ven > Art,Art > Ven,FALSE,FALSE,FALSE
ENA-78(CXCL5),CXCL5,0.1599433632148977,0.16981050508552142,0.5256039443123283,0.09712709707468956,0.2459515315900325,seq.2979.8,TRUE,Art > Ven,Art > Ven,TRUE,FALSE,FALSE
CD30,TNFRSF8,0.046527188615346965,0.22401538408861227,0.5824399986303919,0.06586536443488913,0.770063938050479,seq.2605.49,TRUE,Art > Ven,Art > Ven,TRUE,FALSE,FALSE
TNF-RII,TNFRSF1B,-0.005441863327910769,0.7836523115344085,0.9795653894180106,-0.09021133607092302,0.1711899441404739,seq.3152.57,TRUE,Ven > Art,Ven > Art,TRUE,FALSE,FALSE
BAFF,TNFSF13B,-0.03111188001885105,0.8752816637780582,0.9984984814300277,-0.14167684527807098,0.1302298892960964,seq.3059.50,TRUE,Ven > Art,Ven > Art,TRUE,FALSE,FALSE
MDC,CCL22,-0.026439520972453105,0.9063293908364868,0.9984984814300277,-0.49531107680265873,0.08645249676840326,seq.3508.78,TRUE,Ven > Art,Ven > Art,TRUE,FALSE,FALSE
APRIL,TNFSF13,-0.002346741320980899,0.9687124153929956,0.9994651904848368,NA,NA,NA,FALSE,Ven > Art,NA,FALSE,FALSE,NA
TWEAK,TNFSF12,-0.029488670821922545,0.9687124153929956,0.9994651904848368,-0.11652299912798383,0.20706842104789483,seq.5939.42,TRUE,Ven > Art,Ven > Art,TRUE,FALSE,FALSE
