AptName,PC1,PC2,PC3,PC4,Target,EntrezGeneSymbol
seq.19290.5,0.01993184251043256,-6.526748158965455e-4,-0.008496397103314571,0.00974688876763713,HPRT,HPRT1
seq.3516.60,-0.01993175902364391,-0.0078464477115515,-0.004970138492466109,-0.0011859707911717721,SDF-1,CXCL12
seq.2647.66,0.019931127984351007,-0.0024752109966544116,-0.008806858037958087,0.00876129440315675,Rab GDP dissociation inhibitor beta,GDI2
seq.20964.13,0.019927136169257106,-0.007421884253906652,-0.0018001701018089465,0.0034480994181071835,RS14,RPS14
seq.6590.54,-0.019921845352556432,-0.005168517802814587,-0.005265996745085232,-0.00619180499558193,Neuropilin-2,NRP2
seq.10637.50,-0.019920089102257503,-0.0013613263275279995,-0.0059707924521814745,2.454962130848755e-4,K1324,ELAPOR1
seq.17728.61,0.019919164761927694,-0.008344190935313814,1.9393537853534232e-4,0.010609829840203484,CHM2A,CHMP2A
seq.12753.6,0.019911560048032843,0.0036832756654751643,-0.01152149066482026,-0.003010159772056785,APBB2,APBB2
seq.7207.4,0.01991089737286595,-5.037148504326759e-4,-0.005691832776788952,6.691551215098883e-4,RED,IK
seq.9005.16,-0.01990470219603942,6.91951943522666e-4,-0.010229866156052841,0.0033496343132007364,PLXA1,PLXNA1
seq.23666.35,0.019903929691610422,-0.002530366032999111,-0.006751155635126873,0.01173528093046758,PUR9,ATIC
seq.5740.17,-0.019893264487276643,-4.047467184434205e-4,-0.006108703799038705,-0.003037998528521112,ROBO1,ROBO1
seq.12493.42,0.019892973410579884,0.007852669105787686,-0.0041783555543157234,-0.006465562447035405,OTUB2,OTUB2
seq.3202.28,0.01989044787852701,0.0017342030276881906,-0.006942697128546307,-0.005635886081918729,KREM2,KREMEN2
seq.7928.183,-0.019884274504257855,-0.004787371751569712,-0.004112984815004585,-0.007746933469684731,TPST1,TPST1
seq.2876.74,0.01988264642403847,0.0014885621617728494,0.005874496421502866,0.0015133553672497472,Topoisomerase I,TOP1
seq.4771.10,0.019882244902672454,0.002538005301051343,-0.004337970950792761,0.0022112080967272582,ASM3A,SMPDL3A
seq.21929.53,0.019881522489390423,-0.006277436903098035,-0.002631240721806655,0.010265339586113656,UB2D3/ PolyUbiquitin K48,UBE2D3|UBB
seq.5837.49,-0.01988073261535045,-0.002545938967321253,-0.007787308351190622,-4.909657024585288e-4,LIF sR,LIFR
seq.5745.64,0.019867505093834413,-0.004012474090756341,0.00305721950323166,0.0013795212290673366,PI15,PI15
seq.22023.3,0.019860882768220654,0.003907068353137467,-0.001993835449210841,0.008044413680465578,AADAT,AADAT
seq.9451.20,-0.019860004393703872,-2.9397602447526794e-4,-0.0019148753303979756,-0.006332250273604449,Uromodulin,UMOD
seq.17495.141,-0.019858725844540306,-8.740162948199552e-4,-0.004649720675279485,-0.005897665357840987,SIR3,SIRT3
seq.13620.10,0.019852931896948943,0.002852957181951589,-0.009186893306747893,-0.004539373173114684,ASNA,GET3
