AptName,Target,EntrezGeneSymbol,ColCheck,UniProt
seq.15323.112,AGO3,AGO3,PASS,Q9H9G7
seq.6359.50,AGO61,POMGNT2,PASS,Q8NAT1
seq.4959.2,AGR2,AGR2,PASS,O95994
seq.17342.13,AGR3,AGR3,PASS,Q8TD06
seq.5668.49,AGR3,AGR3,PASS,Q8TD06
seq.22588.35,AGRB2,ADGRB2,PASS,O60241
seq.21546.20,AGRD1,ADGRD1,PASS,Q6QNK2
seq.21697.57,AGRF2,ADGRF2,PASS,Q8IZF7
seq.11633.89,AHSA1,AHSA1,PASS,O95433
seq.9025.5,AHSP,AHSP,PASS,Q9NZD4
seq.16621.77,AIBP,NAXE,PASS,Q8NCW5
seq.9522.3,AIF,AIFM1,PASS,O95831
seq.2849.49,AIF1,AIF1,PASS,P55008
seq.18871.24,AIF1L,AIF1L,PASS,Q9BQI0
seq.25889.108,AIM2,AIM2,PASS,O14862
seq.11436.6,AINX,INA,PASS,Q16352
seq.3839.60,AIP,AIP,PASS,O00170
seq.23646.5,AIPL1,AIPL1,PASS,Q9NZN9
seq.4192.10,AK1A1,AKR1A1,PASS,P14550
seq.21271.53,AK1C2,AKR1C2,PASS,P52895
seq.18397.5,AK1C4,AKR1C4,PASS,P17516
seq.18398.1,AK1D1,AKR1D1,PASS,P51857
seq.18399.1,AKA7A,AKAP7,PASS,O43687
seq.23280.9,AKIR2,AKIRIN2,PASS,Q53H80
seq.23302.19,AKTS1,AKT1S1,PASS,Q96B36
seq.20055.40,AL1A2,ALDH1A2,PASS,O94788
seq.9835.16,AL1A3,ALDH1A3,PASS,P47895
seq.22057.9,AL1B1,ALDH1B1,PASS,P30837
seq.12940.35,AL3B1,ALDH3B1,PASS,P43353
seq.21498.3,AL7A1,ALDH7A1,PASS,P49419
seq.21339.19,ALAT2,GPT2,PASS,Q8TD30
seq.5451.1,ALCAM,ALCAM,PASS,Q13740
seq.18381.16,ALDH-E2,ALDH2,PASS,P05091
seq.18185.118,ALDOB,ALDOB,PASS,P05062
seq.23654.6,ALG2,ALG2,PASS,Q9H553
seq.8249.124,ALK,ALK,PASS,Q9UM73
seq.16318.12,ALK-1,ACVRL1,PASS,P37023
seq.2969.11,ALK-1,ACVRL1,PASS,P37023
seq.18400.52,ALKB2,ALKBH2,PASS,Q6NS38
seq.18401.18,ALKB3,ALKBH3,PASS,Q96Q83
seq.16015.19,ALT,GPT,PASS,P24298
seq.3709.4,ALT,GPT,PASS,P24298
seq.5620.13,AMD,PAM,PASS,P19021
seq.18402.1,AMERL,AMMECR1L,PASS,Q6DCA0
seq.20120.101,AMGO1,AMIGO1,PASS,Q86WK6
seq.9979.13,AMGO1,AMIGO1,PASS,Q86WK6
seq.14134.49,AMGO2,AMIGO2,PASS,Q86SJ2
seq.6914.15,AMGO2,AMIGO2,PASS,Q86SJ2
seq.4322.28,AMNLS,AMN,PASS,Q9BXJ7
seq.25296.3,AMOT,AMOT,PASS,Q4VCS5
seq.19752.197,AMP1D,METAP1D,PASS,Q6UB28
seq.12386.11,AMPB,RNPEP,PASS,Q9H4A4
seq.18403.25,AMPD2,AMPD2,PASS,Q01433
seq.15558.63,AMPE,ENPEP,PASS,Q07075
seq.24908.19,AMPH,AMPH,PASS,P49418
seq.5183.53,AMPK a1b1g1,PRKAA1|PRKAB1|PRKAG1,PASS,Q13131|Q9Y478|P54619
seq.5245.40,AMPK a2b2g1,PRKAA2|PRKAB2|PRKAG1,PASS,P54646|O43741|P54619
seq.3170.6,AMPM2,METAP2,PASS,P50579
seq.13073.14,AN32A,ANP32A,PASS,P39687
seq.4194.26,AN32B,ANP32B,PASS,Q92688
seq.22398.5,AN32C,ANP32C,PASS,O43423
seq.11142.11,ANGL1,ANGPTL1,PASS,O95841
seq.9092.33,ANGL1,ANGPTL1,PASS,O95841
seq.10382.1,ANGL3,ANGPTL3,PASS,Q9Y5C1
seq.10391.1,ANGL3,ANGPTL3,PASS,Q9Y5C1
seq.3796.79,ANGL4,ANGPTL4,PASS,Q9BY76
seq.6371.50,ANGL7,ANGPTL7,PASS,O43827
seq.7624.19,ANK2,ANK2,PASS,Q01484
seq.10398.110,ANKR1,ANKRD1,PASS,Q15327
seq.15361.37,ANKR1,ANKRD1,PASS,Q15327
seq.25274.2,ANKR2,ANKRD2,PASS,Q9GZV1
seq.25261.42,ANKS3,ANKS3,PASS,Q6ZW76
seq.25437.18,ANKY2,ANKMY2,PASS,Q8IV38
seq.23351.59,ANM1,PRMT1,PASS,Q99873
seq.25454.38,ANM2,PRMT2,PASS,P55345
seq.12696.166,ANM3,PRMT3,PASS,O60678
seq.5443.62,ANP,NPPA,PASS,P01160
seq.24720.10,ANR16,ANKRD16,PASS,Q6P6B7
seq.12445.50,ANR27,ANKRD27,PASS,Q96NW4
seq.23367.8,ANR40,ANKRD40,PASS,Q6AI12
seq.23413.38,ANR45,ANKRD45,PASS,Q5TZF3
seq.7851.30,ANR46,ANKRD46,PASS,Q86W74
seq.18404.22,ANR54,ANKRD54,PASS,Q6NXT1
seq.23424.4,ANR63,None,PASS,C9JTQ0
seq.21590.9,ANRA2,ANKRA2,PASS,Q9H9E1
seq.10464.6,ANTR1,ANTXR1,PASS,Q9H6X2
seq.15559.5,ANTR2,ANTXR2,PASS,P58335
seq.13605.16,ANX10,ANXA10,PASS,Q9UJ72
seq.17513.11,ANX11,ANXA11,PASS,P50995
seq.17835.28,ANX13,ANXA13,PASS,P27216
seq.14203.3,ANXA7,ANXA7,PASS,P20073
seq.18244.1,ANXA7,ANXA7,PASS,P20073
seq.13588.11,ANXA9,ANXA9,PASS,O76027
seq.20445.29,AP1AR,AP1AR,PASS,Q63HQ0
seq.24954.83,AP1B1,AP1B1,PASS,Q10567
seq.12714.38,AP1G2,AP1G2,PASS,O75843
seq.18405.117,AP1S2,AP1S2,PASS,P56377
seq.13621.31,AP2A2,AP2A2,PASS,O94973
seq.24938.7,AP2B1,AP2B1,PASS,P63010
seq.16583.8,AP4A,NUDT2,PASS,P50583
seq.7947.19,AP4AT,TEPSIN,PASS,Q96N21
seq.10076.1,AP4M1,AP4M1,PASS,O00189
seq.12822.34,APBB1,APBB1,PASS,O00213
seq.14206.28,APBB1,APBB1,PASS,O00213
seq.12753.6,APBB2,APBB2,PASS,Q92870
seq.12761.12,APBB2,APBB2,PASS,Q92870
seq.12784.10,APBB3,APBB3,PASS,O95704
seq.13589.10,APBB3,APBB3,PASS,O95704
seq.12345.4,APC10,ANAPC10,PASS,Q9UM13
seq.11690.47,APC7,ANAPC7,PASS,Q9UJX3
seq.6599.5,APCD1,APCDD1,PASS,Q8J025
seq.6622.90,APEL,APLN,PASS,Q9ULZ1
seq.9849.13,APEX1,APEX1,PASS,P27695
seq.25123.198,APEX2,APEX2,PASS,Q9UBZ4
seq.10627.87,APLP2,APLP2,PASS,Q06481
seq.7915.31,APLP2,APLP2,PASS,Q06481
seq.10605.22,APMAP,APMAP,PASS,Q9HDC9
seq.16823.75,APOL3,APOL3,PASS,O95236
seq.10902.53,APRV1,ASPRV1,PASS,Q53RT3
seq.10088.37,APT,APRT,PASS,P07741
seq.17736.105,APTX,APTX,PASS,Q7Z2E3
seq.11363.58,AQP4,AQP4,PASS,P55087
seq.18407.36,AR2BP,ARL2BP,PASS,Q9Y2Y0
seq.24699.20,AR6P1,ARL6IP1,PASS,Q15041
seq.12583.77,ARAF,ARAF,PASS,P10398
seq.21343.3,ARC,ARC,PASS,Q7LC44
seq.12689.56,ARC1B,ARPC1B,PASS,O15143
seq.2970.60,AREG,AREG,PASS,P15514
seq.19239.5,ARF1,ARF1,PASS,P84077
seq.12578.13,ARF3,ARF3,PASS,P61204
seq.18408.26,ARF4,ARF4,PASS,P18085
seq.18409.61,ARF5,ARF5,PASS,P84085
seq.12425.104,ARF6,ARF6,PASS,P62330
seq.11556.19,ARFG1,ARFGAP1,PASS,Q8N6T3
seq.11664.32,ARFG2,ARFGAP2,PASS,Q8N6H7
seq.13488.3,ARFP1,ARFIP1,PASS,P53367
seq.12630.8,ARFP2,ARFIP2,PASS,P53365
seq.5867.60,ARGI1,ARG1,PASS,P05089
seq.18183.3,ARH,LDLRAP1,PASS,Q5SW96
seq.13976.9,ARHG1,ARHGEF1,PASS,Q92888
seq.12848.9,ARHG2,ARHGEF2,PASS,Q92974
seq.14260.112,ARHG8,NET1,PASS,Q7Z628
seq.9061.3,ARHGA,ARHGEF10,PASS,O15013
seq.22070.5,ARHGG,ARHGEF16,PASS,Q5VV41
seq.13519.112,ARHGP,ARHGEF25,PASS,Q86VW2
seq.12406.119,ARHI,DIRAS3,PASS,O95661
seq.17332.3,ARHL2,ADPRS,PASS,Q9NX46
seq.9898.161,ARI1A,ARID1A,PASS,O14497
seq.3875.62,ARI3A,ARID3A,PASS,Q99856
seq.25484.120,ARI3C,ARID3C,PASS,A6NKF2
seq.18173.11,ARK73,AKR7A3,PASS,O95154
seq.12392.30,ARL1,ARL1,PASS,P40616
seq.12433.8,ARL11,ARL11,PASS,Q969Q4
seq.18411.83,ARL15,ARL15,PASS,Q9NXU5
seq.12587.65,ARL2,ARL2,PASS,P36404
seq.12571.14,ARL3,ARL3,PASS,P36405
seq.18413.24,ARL4D,ARL4D,PASS,P49703
seq.18414.26,ARL5A,ARL5A,PASS,Q9Y689
seq.17404.5,ARL5B,ARL5B,PASS,Q96KC2
seq.18415.16,ARL6,ARL6,PASS,Q9H0F7
seq.23281.29,ARL8A,ARL8A,PASS,Q96BM9
seq.8569.147,ARL8B,ARL8B,PASS,Q9NVJ2
seq.18416.3,ARL9,ARL9,PASS,Q6T311
seq.11241.8,ARLY,ASL,PASS,P04424
seq.9107.59,ARM10,ARMC10,PASS,Q8N2F6
seq.24963.1,ARMC3,ARMC3,PASS,Q5W041
seq.8785.1,ARMC5,ARMC5,PASS,Q96C12
seq.9945.8,ARMC5,ARMC5,PASS,Q96C12
seq.25247.12,ARMC8,ARMC8,PASS,Q8IUR7
