AptName,logFC,AveExpr,t,P.Value,adj.P.Val,B,Target,EntrezGeneSymbol,contrast
seq.6049.64,0.08826346431560647,-0.09621047192146692,0.4995431054739458,0.6254406338175856,0.9987520320773822,-4.693416352683658,PTPRS,PTPRS,Spine_vs_HeadNeck
seq.8578.45,0.05752993611686011,-0.031015899711288597,0.49953230183382474,0.6254480435747697,0.9987520320773822,-4.693417620844159,Fc_MOUSE,,Spine_vs_HeadNeck
seq.14133.93,0.07226723508645902,-0.11864513298266728,0.49918883786043516,0.6256836328820237,0.9987520320773822,-4.693457924200004,IL-1 sRII,IL1R2,Spine_vs_HeadNeck
seq.7792.58,-0.21742939472562764,0.1776552426438681,-0.4990023046290179,0.6258115978796686,0.9987520320773822,-4.693479801844396,CC90B,CCDC90B,Spine_vs_HeadNeck
seq.9940.35,-0.23977351481765657,0.32290705773495043,-0.4989977906203789,0.6258146947227481,0.9987520320773822,-4.693480331177378,DUS28,DUSP28,Spine_vs_HeadNeck
seq.3847.56,0.09198771910816203,-0.13026508015813518,0.4987194649849574,0.6260056546934933,0.9987520320773822,-4.693512960240321,ETHE1,ETHE1,Spine_vs_HeadNeck
seq.18212.43,0.0801670368981612,0.07483294060871544,0.4983110191243874,0.6262859411171768,0.9987520320773822,-4.693560812899149,GSTM5-5,GSTM5,Spine_vs_HeadNeck
seq.22959.32,0.18800433608583825,-0.30928752779027574,0.4973552444386145,0.6269420542432078,0.9987520320773822,-4.693672646060835,Dkk-4,DKK4,Spine_vs_HeadNeck
seq.5834.18,0.06157595646805088,-0.08922064467089474,0.4972313652098031,0.6270271180361695,0.9987520320773822,-4.6936871261943045,IL-9,IL9,Spine_vs_HeadNeck
seq.9799.3,-0.09074371160004588,0.11839500492065103,-0.49709828569081543,0.6271185055235613,0.9987520320773822,-4.693702677979573,Fc_MOUSE,,Spine_vs_HeadNeck
seq.14031.18,0.10841511686771985,-0.22060270480321664,0.49688440956826196,0.627265390479637,0.9987520320773822,-4.693727663560303,FGF7,FGF7,Spine_vs_HeadNeck
seq.24489.34,0.06732274191686453,-0.10084587692896374,0.496825093669501,0.6273061301232619,0.9987520320773822,-4.693734591219343,HES3,HES3,Spine_vs_HeadNeck
