pathway,collection,n_hit_in_set,n_set,n_hit,n_background,odds_ratio,p_value,padj,draw,contrast,direction,n_sig_hits,label
KEGG_PATHWAYS_IN_CANCER,KEGG,38,259,1136,7481,0.9590096562934494,0.6198469997558893,0.9999997322790738,Arterial,Spine_vs_Laparoscopic,up,718,Arterial · Spine / Laparoscopic · higher in 1st
HALLMARK_KRAS_SIGNALING_UP,Hallmark,21,145,1136,7481,0.9448887858640248,0.6298693437489941,0.9999997322790738,Arterial,Spine_vs_Laparoscopic,up,718,Arterial · Spine / Laparoscopic · higher in 1st
HALLMARK_HEME_METABOLISM,Hallmark,14,98,1136,7481,0.9300268951939332,0.641850902871957,0.9999997322790738,Arterial,Spine_vs_Laparoscopic,up,718,Arterial · Spine / Laparoscopic · higher in 1st
HALLMARK_UNFOLDED_PROTEIN_RESPONSE,Hallmark,9,64,1136,7481,0.913271217732882,0.6524915136198157,0.9999997322790738,Arterial,Spine_vs_Laparoscopic,up,718,Arterial · Spine / Laparoscopic · higher in 1st
KEGG_TRYPTOPHAN_METABOLISM,KEGG,3,22,1136,7481,0.8816242898736582,0.670896115214404,0.9999997322790738,Arterial,Spine_vs_Laparoscopic,up,718,Arterial · Spine / Laparoscopic · higher in 1st
HALLMARK_G2M_CHECKPOINT,Hallmark,12,86,1136,7481,0.9047741913889555,0.6713007089400073,0.9999997322790738,Arterial,Spine_vs_Laparoscopic,up,718,Arterial · Spine / Laparoscopic · higher in 1st
HALLMARK_XENOBIOTIC_METABOLISM,Hallmark,20,142,1136,7481,0.9141085998330724,0.6795175820973268,0.9999997322790738,Arterial,Spine_vs_Laparoscopic,up,718,Arterial · Spine / Laparoscopic · higher in 1st
HALLMARK_APICAL_SURFACE,Hallmark,4,30,1136,7481,0.8588134460118733,0.688752694015956,0.9999997322790738,Arterial,Spine_vs_Laparoscopic,up,718,Arterial · Spine / Laparoscopic · higher in 1st
HALLMARK_ADIPOGENESIS,Hallmark,17,122,1136,7481,0.9028863889337557,0.6892253228695455,0.9999997322790738,Arterial,Spine_vs_Laparoscopic,up,718,Arterial · Spine / Laparoscopic · higher in 1st
KEGG_COLORECTAL_CANCER,KEGG,7,53,1136,7481,0.8490376828697532,0.7137978987391623,0.9999997322790738,Arterial,Spine_vs_Laparoscopic,up,718,Arterial · Spine / Laparoscopic · higher in 1st
