pathway,collection,n_hit_in_set,n_set,n_hit,n_background,odds_ratio,p_value,padj,draw,contrast,direction,n_sig_hits,label
KEGG_FC_GAMMA_R_MEDIATED_PHAGOCYTOSIS,KEGG,22,67,1306,7481,2.3336907693667954,0.0016104176065210648,0.034020071937757496,Arterial,Spine_vs_Laparoscopic,down,915,Arterial · Spine / Laparoscopic · higher in 2nd
HALLMARK_PI3K_AKT_MTOR_SIGNALING,Hallmark,25,87,1306,7481,1.9239054451661652,0.006100788833738036,0.11455925698908091,Arterial,Spine_vs_Laparoscopic,down,915,Arterial · Spine / Laparoscopic · higher in 2nd
KEGG_REGULATION_OF_ACTIN_CYTOSKELETON,KEGG,35,137,1306,7481,1.6394234382954551,0.010415525094561576,0.17602237409809063,Arterial,Spine_vs_Laparoscopic,down,915,Arterial · Spine / Laparoscopic · higher in 2nd
KEGG_GLYCOLYSIS_GLUCONEOGENESIS,KEGG,16,54,1306,7481,2.002949161976552,0.018962197240794558,0.2862090119372427,Arterial,Spine_vs_Laparoscopic,down,915,Arterial · Spine / Laparoscopic · higher in 2nd
KEGG_PARKINSONS_DISEASE,KEGG,14,46,1306,7481,2.0799480104147565,0.021613950061888213,0.2862090119372427,Arterial,Spine_vs_Laparoscopic,down,915,Arterial · Spine / Laparoscopic · higher in 2nd
KEGG_GLUTATHIONE_METABOLISM,KEGG,13,42,1306,7481,2.1305433527615314,0.022946501268543362,0.2862090119372427,Arterial,Spine_vs_Laparoscopic,down,915,Arterial · Spine / Laparoscopic · higher in 2nd
KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION,KEGG,21,78,1306,7481,1.7539270725944358,0.023757360006250932,0.2862090119372427,Arterial,Spine_vs_Laparoscopic,down,915,Arterial · Spine / Laparoscopic · higher in 2nd
KEGG_PATHOGENIC_ESCHERICHIA_COLI_INFECTION,KEGG,11,34,1306,7481,2.2717058706459836,0.025403166739991954,0.2862090119372427,Arterial,Spine_vs_Laparoscopic,down,915,Arterial · Spine / Laparoscopic · higher in 2nd
KEGG_PRION_DISEASES,KEGG,12,39,1306,7481,2.111397534479689,0.029611739449653954,0.3127739979369699,Arterial,Spine_vs_Laparoscopic,down,915,Arterial · Spine / Laparoscopic · higher in 2nd
KEGG_PURINE_METABOLISM,KEGG,22,86,1306,7481,1.6358953561950305,0.03643552904446653,0.35955514747296724,Arterial,Spine_vs_Laparoscopic,down,915,Arterial · Spine / Laparoscopic · higher in 2nd
KEGG_PYRUVATE_METABOLISM,KEGG,11,36,1306,7481,2.0893607474165936,0.03829581452374799,0.35955514747296724,Arterial,Spine_vs_Laparoscopic,down,915,Arterial · Spine / Laparoscopic · higher in 2nd
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,Hallmark,68,210,1136,7481,2.7808354365879566,1.8757875100460863e-10,2.8324391401695904e-8,Arterial,Spine_vs_Laparoscopic,up,718,Arterial · Spine / Laparoscopic · higher in 1st
HALLMARK_IL6_JAK_STAT3_SIGNALING,Hallmark,32,106,1136,7481,2.455841398558079,6.171598339647393e-5,0.0046595567464337816,Arterial,Spine_vs_Laparoscopic,up,718,Arterial · Spine / Laparoscopic · higher in 1st
HALLMARK_TGF_BETA_SIGNALING,Hallmark,17,44,1136,7481,3.5541067148360805,1.2522747978204788e-4,0.005081230782998479,Arterial,Spine_vs_Laparoscopic,up,718,Arterial · Spine / Laparoscopic · higher in 1st
KEGG_DILATED_CARDIOMYOPATHY,KEGG,15,37,1136,7481,3.844837755602905,1.6553760863712594e-4,0.005081230782998479,Arterial,Spine_vs_Laparoscopic,up,718,Arterial · Spine / Laparoscopic · higher in 1st
