AptName,logFC,AveExpr,t,P.Value,adj.P.Val,B,Target,EntrezGeneSymbol,contrast,draw
seq.5255.22,0.12373603177969805,9.239675042995566,0.868173216976529,0.4023469818893065,0.6331421479835722,-5.571445486165752,PDE4D,PDE4D,Laparoscopic_vs_HeadNeck,Arterial
seq.24276.171,0.13613370681487957,8.355396307841142,0.8675314851892729,0.40268457839266414,0.6333707445285718,-5.571972389890758,TTC25,TTC25,Laparoscopic_vs_HeadNeck,Arterial
seq.5663.18,-0.1506184873810401,8.472288085660693,-0.8674369943937577,0.40273430345062844,0.6333707445285718,-5.572049944268363,PF4V,PF4V1,Laparoscopic_vs_HeadNeck,Arterial
seq.21743.1,0.40433219819639277,11.357296367109733,0.867703697082261,0.4027462413744708,0.6333707445285718,-5.5716798097877325,WDR48,WDR48,Laparoscopic_vs_HeadNeck,Arterial
seq.8769.30,0.10786888014933993,8.184869989470632,0.8670230422057185,0.4029521915944332,0.6334216530788841,-5.57238961319327,Fc_MOUSE,,Laparoscopic_vs_HeadNeck,Arterial
seq.8072.19,-0.15848644404461076,8.676931304309399,-0.8668801415523028,0.4030644768813002,0.6334216530788841,-5.572470027766044,Fc_MOUSE,,Laparoscopic_vs_HeadNeck,Arterial
seq.8985.13,0.3218100018211256,10.319062791673753,0.866887502007338,0.4031756749713403,0.6334216530788841,-5.572349667482487,SRAC1,SERAC1,Laparoscopic_vs_HeadNeck,Arterial
seq.9379.248,-0.6787404306101994,9.64422494353464,-0.8667645071117678,0.40324041448667935,0.6334216530788841,-5.572450562676114,CX069,SMIM10,Laparoscopic_vs_HeadNeck,Arterial
seq.20531.5,-0.13867991388156753,8.39626194300154,-0.8664567832215495,0.4032503771880147,0.6334216530788841,-5.5728540282467165,SLAF9,SLAMF9,Laparoscopic_vs_HeadNeck,Arterial
seq.11212.7,0.2817605653906057,12.560901462366985,0.8663879440398089,0.40328663729644765,0.6334216530788841,-5.57291046835732,TXND5,TXNDC5,Laparoscopic_vs_HeadNeck,Arterial
seq.25960.15,0.19259658592446094,11.443543395020653,0.866018248442685,0.403481407173071,0.6335945438836574,-5.573213508663997,T-plastin,PLS3,Laparoscopic_vs_HeadNeck,Arterial
seq.10034.16,0.30368186037057754,10.542153287580847,0.8659211136550483,0.4036845321220929,0.6337272013210987,-5.5731420788220944,Fc_MOUSE,,Laparoscopic_vs_HeadNeck,Arterial
seq.9963.19,-0.16157652378888976,10.042924722912673,-0.8655102349885653,0.40374915195456595,0.6337272013210987,-5.57362974407444,PCDBA,PCDHB10,Laparoscopic_vs_HeadNeck,Arterial
seq.25461.3,-0.19105255915739505,7.5105782117905,-0.8656639431370551,0.40382001987671134,0.6337272013210987,-5.573352821491664,ARRS,SAG,Laparoscopic_vs_HeadNeck,Arterial
seq.8772.5,-0.229272697527243,8.710149063988718,-0.865204847835496,0.4040619661962416,0.6339013385377361,-5.573728898964061,EFNB2,EFNB2,Laparoscopic_vs_HeadNeck,Arterial
seq.14061.48,0.15036314693564456,10.051164650326966,0.86484403024018,0.40410045227729763,0.6339013385377361,-5.574175268329821,sRANKL,TNFSF11,Laparoscopic_vs_HeadNeck,Arterial
seq.22950.6,0.1538346145909415,9.456935226631684,0.864544484267985,0.4042584749065281,0.6340162789886241,-5.574420433010819,BT3A3,BTN3A3,Laparoscopic_vs_HeadNeck,Arterial
seq.7924.7,0.12396357630837151,9.589967683324625,0.8639240721668644,0.4045859001630836,0.6343967971326826,-5.574927975801291,CD3G,CD3G,Laparoscopic_vs_HeadNeck,Arterial
seq.9092.33,0.192627598861991,11.566349403904375,0.8634555530947101,0.40483328185223744,0.6345779154999125,-5.57531104777729,ANGL1,ANGPTL1,Laparoscopic_vs_HeadNeck,Arterial
