AptName,logFC,AveExpr,t,P.Value,adj.P.Val,B,Target,TargetFullName,EntrezGeneSymbol,EntrezGeneID,UniProt,Dilution,direction,sig_nom,sig_fdr
seq.5131.15,-0.20064654418538463,9.239104410080271,-2.237608541218077,0.042757089407679916,0.496651307527927,-3.7600146165989408,TAJ,Tumor necrosis factor receptor superfamily member 19,TNFRSF19,55504,Q9NS68,20,Venous > Arterial,TRUE,FALSE
seq.8859.51,-0.4961265339788157,8.441930518498838,-2.237105609283526,0.042797141964241864,0.496651307527927,-3.7604829941550424,CAH11,Carbonic anhydrase-related protein 11,CA11,770,O75493,20,Venous > Arterial,TRUE,FALSE
seq.7693.13,-0.13327413275693506,8.945421657366687,-2.2338935783268643,0.042809455200671885,0.496651307527927,-3.7612064963642324,TRAIL R2,Tumor necrosis factor receptor superfamily member 10B,TNFRSF10B,8795,O14763,20,Venous > Arterial,TRUE,FALSE
seq.8464.31,-0.09823592481595134,8.76146190243793,-2.2328145014581704,0.04287553245422023,0.496651307527927,-3.7620269158591806,RSPO4,R-spondin-4,RSPO4,343637,Q2I0M5,20,Venous > Arterial,TRUE,FALSE
seq.3432.21,-0.16026507586597102,7.0655114717196,-2.233570215705039,0.04294785990814021,0.496651307527927,-3.7625543153322765,EPHA3,Ephrin type-A receptor 3,EPHA3,2042,P29320,20,Venous > Arterial,TRUE,FALSE
seq.6565.68,-0.11157489058045739,10.152162998194173,-2.230171943077846,0.04308770270170392,0.496651307527927,-3.7644981566898044,CDCP1,CUB domain-containing protein 1,CDCP1,64866,Q9H5V8,20,Venous > Arterial,TRUE,FALSE
seq.9244.27,0.15551880729725792,9.963434932632362,2.2302347503098017,0.043134520808113454,0.496651307527927,-3.764918081590877,PPT1,Palmitoyl-protein thioesterase 1,PPT1,5538,P50897,0.5,Arterial > Venous,TRUE,FALSE
seq.16773.29,-0.3078315461198751,8.052973064485718,-2.232807175171127,0.043140904024078455,0.496651307527927,-3.764485223647296,SCUB3,"Signal peptide, CUB and EGF-like domain-containing protein 3",SCUBE3,222663,Q8IX30,20,Venous > Arterial,TRUE,FALSE
seq.7849.3,-0.3324352390650992,8.733612148002617,-2.2319414542269285,0.043210452468694927,0.496651307527927,-3.7652910967927955,Glutaminyl cyclase,Glutaminyl-peptide cyclotransferase,QPCT,25797,Q16769,20,Venous > Arterial,TRUE,FALSE
seq.18921.30,-0.18944431255767655,7.80537435410698,-2.2276982882886305,0.043552858197235,0.496651307527927,-3.7692399948732964,PHEX,Phosphate-regulating neutral endopeptidase,PHEX,5251,P78562,20,Venous > Arterial,TRUE,FALSE
seq.11360.39,-0.620015068684399,13.909030796703666,-2.227494730257921,0.04356934842574283,0.496651307527927,-3.7694293966854895,RRM1,Ribonucleoside-diphosphate reductase large subunit,RRM1,6240,P23921,20,Venous > Arterial,TRUE,FALSE
seq.24425.8,0.3760428137042016,12.751837047211326,2.2262786999654365,0.04366798130562708,0.496651307527927,-3.7705607841893123,SYMC,"Methionyl-tRNA synthetase, cytoplasmic",MARS1,4141,P56192,20,Arterial > Venous,TRUE,FALSE
seq.3489.9,-0.10176021521133727,7.382164808068521,-2.222799624526407,0.043684847775917246,0.496651307527927,-3.7713891680127727,CNTF,Ciliary neurotrophic factor,CNTF,1270,P26441,20,Venous > Arterial,TRUE,FALSE
seq.17849.6,0.32796623418370635,9.380240598820555,2.22548241109049,0.043732682393737364,0.496651307527927,-3.771301576666786,DRG1,Developmentally-regulated GTP-binding protein 1,DRG1,4733,Q9Y295,20,Arterial > Venous,TRUE,FALSE
seq.13663.2,0.2204451454928215,7.3781135814808225,2.2245399882034964,0.043809373759274343,0.496651307527927,-3.7721782466719835,IL-4,Interleukin-4,IL4,3565,P05112,20,Arterial > Venous,TRUE,FALSE
seq.19129.15,0.1486088245483429,10.92766720769317,2.2202591618986713,0.04389241413241723,0.496651307527927,-3.7737626153724255,MTHFSD,Methenyltetrahydrofolate synthase domain-containing protein,MTHFSD,64779,Q2M296,20,Arterial > Venous,TRUE,FALSE
seq.16780.6,-0.4287956745827791,13.459267291913648,-2.22268450817069,0.04396073628947267,0.496651307527927,-3.7739040413402707,HSP 70,Heat shock 70 kDa protein 1A,HSPA1A,3303,P0DMV8,20,Venous > Arterial,TRUE,FALSE
seq.9835.16,0.24319892062324716,10.969384163785875,2.2219451243599178,0.04402118901961377,0.496651307527927,-3.7745916625551397,AL1A3,Aldehyde dehydrogenase family 1 member A3,ALDH1A3,220,P47895,0.5,Arterial > Venous,TRUE,FALSE
seq.3115.64,0.21523272152943976,10.569569761332247,2.221562561092332,0.04405249841025035,0.496651307527927,-3.7749474244199597,MK01,Mitogen-activated protein kinase 1,MAPK1,5594,P28482,20,Arterial > Venous,TRUE,FALSE
seq.23256.21,-0.11791308668789746,8.033796666134306,-2.2166193087907975,0.04419141832924201,0.496651307527927,-3.777162128099686,TLDC2,TLD domain-containing protein 2,TLDC2,140711,A0PJX2,20,Venous > Arterial,TRUE,FALSE
seq.17384.110,0.5959441757750009,12.467536415366938,2.218474936434649,0.04430595973755343,0.496651307527927,-3.77781826148465,K6PF,"ATP-dependent 6-phosphofructokinase, muscle type",PFKM,5213,P08237,0.5,Arterial > Venous,TRUE,FALSE
seq.7980.72,-0.11545312016649523,10.806611457263353,-2.21396487821177,0.04441067619250121,0.496651307527927,-3.7796405004745512,B3GN2,"N-acetyllactosaminide beta-1,3-N-acetylglucosaminyltransferase 2",B3GNT2,10678,Q9NY97,0.5,Venous > Arterial,TRUE,FALSE
seq.6494.60,-0.11832277046545366,8.696903110699251,-2.2131948469509326,0.044474471957470535,0.496651307527927,-3.780359333720907,sperm acrosome associated 5,Sperm acrosome-associated protein 5,SPACA5,389852,Q96QH8,20,Venous > Arterial,TRUE,FALSE
seq.14023.84,0.1947885268373308,10.501357350747012,2.215696435392738,0.0444809551551378,0.496651307527927,-3.779920478569884,BSP,Bone sialoprotein 2,IBSP,3381,P21815,0.5,Arterial > Venous,TRUE,FALSE
seq.9723.105,0.1206318220376459,8.608319206005884,2.212400689554089,0.04454035652851447,0.496651307527927,-3.7811006299814407,EMILIN-3,Multimerin-2,MMRN2,79812,Q9H8L6,20,Arterial > Venous,TRUE,FALSE
seq.8347.222,-0.10892269459608131,8.398102818086102,-2.211097687424108,0.04464865393991442,0.496651307527927,-3.782316770804252,DB129,Beta-defensin 129,DEFB129,140881,Q9H1M3,20,Venous > Arterial,TRUE,FALSE
seq.12343.14,0.22009155315855092,9.858190241048687,2.2134528208703133,0.044721149719433556,0.496651307527927,-3.782485938967171,CENB2,"Arf-GAP with coiled-coil, ANK repeat and PH domain-containing protein 2",ACAP2,23527,Q15057,20,Arterial > Venous,TRUE,FALSE
seq.17175.5,0.19249912911906053,9.080341589554072,2.206377397313134,0.04531229174492085,0.496651307527927,-3.7890581157402465,MP2K6,Dual specificity mitogen-activated protein kinase kinase 6,MAP2K6,5608,P52564,20,Arterial > Venous,TRUE,FALSE
seq.9764.79,-0.3183595336264904,14.822456412329382,-2.205096934302359,0.04542005303298724,0.496651307527927,-3.7902470112612403,HNRPF,Heterogeneous nuclear ribonucleoprotein F,HNRNPF,3185,P52597,20,Venous > Arterial,TRUE,FALSE
seq.13463.1,-0.3673051484960254,10.03104624148448,-2.204197627526963,0.04549588059535443,0.496651307527927,-3.791081916331468,PXDN,Peroxidasin homolog,PXDN,7837,Q92626,20,Venous > Arterial,TRUE,FALSE
seq.6226.69,0.32992218688790154,11.165321188806436,2.203387743724612,0.04556426979898573,0.496651307527927,-3.791833737680491,EFHA1,"Calcium uptake protein 2, mitochondrial",MICU2,221154,Q8IYU8,20,Arterial > Venous,TRUE,FALSE
seq.2785.15,-0.1458604692866737,7.58351363739508,-2.201422845579762,0.04557495742536749,0.496651307527927,-3.792324884450701,MCP-2,C-C motif chemokine 8,CCL8,6355,P80075,20,Venous > Arterial,TRUE,FALSE
